feature,importance
hog_pixel_66,0.028801343607828135
hog_pixel_62,0.026182229849771095
hog_pixel_49,0.025396933606839853
hog_pixel_45,0.02474978287421036
hog_pixel_60,0.024678082455104913
hog_pixel_27,0.021872722149543156
hog_pixel_98,0.021738084132137184
hog_pixel_70,0.021148705765165244
hog_pixel_71,0.02012311026792267
hog_pixel_33,0.01900471804397479
hog_pixel_73,0.018927146776454254
hog_pixel_55,0.017258868534334334
hog_pixel_38,0.017015270807071336
hog_pixel_64,0.01650469205046115
hog_pixel_28,0.01640786155915546
hog_pixel_29,0.016264188875677432
hog_pixel_57,0.01604034159703732
hog_pixel_24,0.014916743898798011
hog_pixel_39,0.014531193048287306
hog_pixel_32,0.014479473552898733
hog_pixel_52,0.014358619623749269
hog_pixel_65,0.014260450812294007
hog_pixel_76,0.014171112596511265
hog_pixel_51,0.014082922377658598
hog_pixel_3,0.013891162056929448
hog_pixel_79,0.013768306698211519
hog_pixel_67,0.013643438543321533
hog_pixel_58,0.013600958746974473
hog_pixel_46,0.01350646488721495
hog_pixel_44,0.013380722639810287
hog_pixel_34,0.013340724615696386
hog_pixel_63,0.01307242069129722
hog_pixel_56,0.013000420531444118
hog_pixel_41,0.012845746786829123
hog_pixel_17,0.01252796613443682
hog_pixel_35,0.01189992588080218
hog_pixel_77,0.011899512998307693
hog_pixel_43,0.011740779515083377
hog_pixel_72,0.011659314148624651
hog_pixel_85,0.011432812938211795
hog_pixel_10,0.011407367788562238
hog_pixel_74,0.011346890506647132
hog_pixel_91,0.0113382749304161
hog_pixel_37,0.010333881898061392
hog_pixel_68,0.009712777710039222
hog_pixel_31,0.009686929493446284
hog_pixel_48,0.00964995560514495
hog_pixel_42,0.009304773553034676
hog_pixel_26,0.009254940317725065
hog_pixel_16,0.009053884441745095
hog_pixel_4,0.008975185677121317
hog_pixel_25,0.00892178170484888
hog_pixel_22,0.008639971898591404
hog_pixel_69,0.0083786969822247
hog_pixel_89,0.007712021390877707
hog_pixel_40,0.0075356575092569425
hog_pixel_88,0.007523311852240974
hog_pixel_84,0.007359598122217529
hog_pixel_54,0.007187062692573712
hog_pixel_75,0.00704265142332019
hog_pixel_78,0.006815081532908991
hog_pixel_81,0.006811495107874459
hog_pixel_11,0.0068001992980076965
hog_pixel_21,0.006724796948752355
hog_pixel_50,0.006695856912208541
hog_pixel_95,0.006695439160503113
hog_pixel_30,0.0066785233288609545
hog_pixel_20,0.00620118167877089
hog_pixel_53,0.00612672457245971
hog_pixel_36,0.006015349951713688
hog_pixel_90,0.005984380559303466
hog_pixel_13,0.005976176960516254
hog_pixel_19,0.005766403003167606
hog_pixel_82,0.005693749733424062
hog_pixel_14,0.0056095184957886375
hog_pixel_83,0.005510285650071682
hog_pixel_87,0.005346806745101539
hog_pixel_5,0.005201117699251809
hog_pixel_47,0.00519016676818617
hog_pixel_61,0.004922473629716602
hog_pixel_86,0.004689758720652482
hog_pixel_97,0.004600878495913901
hog_pixel_80,0.004351768747089964
hog_pixel_59,0.0038277216758222203
hog_pixel_93,0.0038050359357851456
hog_pixel_8,0.002632823544647781
hog_pixel_18,0.002391821745548837
hog_pixel_94,0.002238372053736821
hog_pixel_12,0.0020856200804131196
hog_pixel_92,0.0017594959087475462
hog_pixel_99,0.001547948008524834
hog_pixel_6,0.0014627087503699262
hog_pixel_23,0.0013446263147119278
hog_pixel_9,0.0011914771037989129
hog_pixel_15,0.0008737320578349002
hog_pixel_96,0.0007133068687536427
hog_pixel_7,0.0006381444176542778
hog_pixel_2,0.0005881396592285711
hog_pixel_1,0.0
hog_pixel_100,0.0
